rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
35,2021,Subaru,Forester,sport,2,25988,No change noted,First seen this week,0,25988,25988,0,0,99689,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738602201,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2021-subaru-forester-sport-trailer-hitch-awd-eyesight/1738602201,0.5188442773293391,Kijiji
36,2019,Subaru,Forester,Unknown,1,16995,No change noted,Unchanged for 3 weeks,3,16995,16995,0,0,138000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737202987,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-subaru-forester-2-5i-convenience-w-eyesight-pkg-auto/1737202987,0.520711261288349,Kijiji
37,2023,Subaru,Forester,limited,2,29995,No change noted,Unchanged for 2 weeks,2,29995,29995,0,0,52234,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1734719585,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2023-subaru-forester-limited-carplay-toit-ouvrant-volant-chauffa/1734719585,0.5245226331673728,Kijiji
38,2021,Subaru,Forester,limited,2,30646,No change noted,Down $455 over 3 weeks,3,31101,31101,-455,-455,44214,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1734927250,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2021-subaru-forester-limited/1734927250,0.5251704799397453,Kijiji
39,2023,Subaru,Forester,limited,2,30995,No change noted,Unchanged for 3 weeks,3,30995,30995,0,0,40250,2.5L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737550268,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-limited-2-5l-cvt-1-proprietaire-cuir-to/1737550268,0.5258149007728967,Kijiji
40,2023,Subaru,Forester,sport,2,21995,No change noted,Unchanged for 1 weeks,1,21995,21995,0,0,166766,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737244626,https://www.kijiji.ca/v-cars-trucks/hamilton/2023-subaru-forester-sport-awd-no-accidents-sunroof/1737244626,0.5307089535734969,Kijiji
41,2024,Subaru,Forester,touring,3,30000,No change noted,First seen this week,0,30000,30000,0,0,27000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",786,address,1738859381,https://www.kijiji.ca/v-cars-trucks/winnipeg/2024-subaru-forester-touring/1738859381,0.5310528493056931,Kijiji
42,2019,Subaru,Forester,convenience,1,19948,No change noted,Unchanged for 3 weeks,3,19948,19948,0,0,111398,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1729642290,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2019-subaru-forester-convenience/1729642290,0.5323084820258605,Kijiji
43,2022,Subaru,Forester,sport,2,32500,No change noted,First seen this week,0,32500,32500,0,0,49500,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738794431,https://www.kijiji.ca/v-cars-trucks/calgary/2022-subaru-forester-2-5i-sport-awd-no-accidents/1738794431,0.5341748620404445,Kijiji
44,2020,Subaru,Forester,Unknown,1,23949,No change noted,Unchanged for 3 weeks,3,23949,23949,0,0,61118,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735063711,https://www.kijiji.ca/v-cars-trucks/st-georges-de-beauce/subaru-forester-commodite-awd-tout-equipe-mags-17-sieges-chauffa/1735063711,0.5354137156680207,Kijiji
45,2019,Subaru,Forester,convenience,1,15995,No change noted,First seen this week,0,15995,15995,0,0,169000,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1738599500,https://www.kijiji.ca/v-cars-trucks/fredericton/2019-subaru-forester-2-5i-convenience-heated-seats-backup-ca/1738599500,0.5362587126075838,Kijiji
46,2023,Subaru,Forester,wilderness,3,36888,No change noted,Unchanged for 1 weeks,1,36888,36888,0,0,57590,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738349781,https://www.kijiji.ca/v-cars-trucks/guelph/2023-subaru-forester-wilderness-awd-leather-sunroof/1738349781,0.5363251909777911,Kijiji
47,2022,Subaru,Forester,touring,3,28900,No change noted,"Down $3,000 over 3 weeks",3,31900,31900,-3000,-3000,48000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",786,address,1737891002,https://www.kijiji.ca/v-cars-trucks/winnipeg/suv-for-sale-or-lease/1737891002,0.5365542717815496,Kijiji
48,2019,Subaru,Forester,limited,2,21995,No change noted,Unchanged for 3 weeks,3,21995,21995,0,0,174000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1733311836,https://www.kijiji.ca/v-cars-trucks/fredericton/2019-subaru-forester-limited/1733311836,0.5371150603626063,Kijiji
49,2020,Subaru,Forester,base,1,23000,No change noted,Unchanged for 3 weeks,3,23000,23000,0,0,76700,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",242,address,1736524345,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/moving-sale:-2020-subaru-forester/1736524345,0.5379148187641538,Kijiji
50,2023,Subaru,Forester,limited,2,29257,No change noted,First seen this week,0,29257,29257,0,0,78676,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1738756222,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-limited-cvt/1738756222,0.5391527712064624,Kijiji
