rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
15,2018,Ford,F-150,fx4,3,18500,No change noted,Unchanged for 1 weeks,1,18500,18500,0,0,198000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1738881441,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f150-xlt-fx4-5-0-v8/1738881441,0.28223265397348807,Kijiji
16,2016,Ford,F-150,lariat,3,25995,No change noted,First seen this week,0,25995,25995,0,0,101596,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738958660,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2016-ford-f-150-4wd-supercrew-157-lariat/1738958660,0.28506795296578197,Kijiji
17,2017,Ford,F-150,lariat,3,18988,No change noted,Unchanged for 1 weeks,1,18988,18988,0,0,202400,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1738708227,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-f-150-lariat/1738708227,0.288523621122929,Kijiji
18,2016,Ford,F-150,Unknown,1,15000,No change noted,"Down $1,000 over 4 weeks",4,16000,15000,0,-1000,230,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737950356,https://www.kijiji.ca/v-cars-trucks/calgary/2016-f150/1737950356,0.29220012507103177,Kijiji
19,2016,Ford,F-150,Unknown,1,13995,No change noted,Unchanged for 2 weeks,2,13995,13995,0,0,19000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1724330308,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2016-ford-f-150-v6-automatique-ac-mags/1724330308,0.2933137887214122,Kijiji
20,2021,Ford,F-150,Unknown,1,300,No change noted,Unchanged for 4 weeks,4,300,300,0,0,55,Unknown,Gas,Unknown,N/A,Unknown,Private,"Moose Jaw, SK","Moose Jaw, SK",799,address,1737753392,https://www.kijiji.ca/v-cars-trucks/ottawa/17-inch-ford-6-bolt/1737753392,0.30252780375603466,Kijiji
21,2016,Ford,F-150,lariat,3,24993,No change noted,Unchanged for 2 weeks,2,24993,24993,0,0,174310,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Ponoka, AB","Ponoka, AB",56,address,1738300619,https://www.kijiji.ca/v-cars-trucks/fort-mcmurray/2016-ford-f-150-lariat-leather-seats-heated-seats/1738300619,0.3069058271432357,Kijiji
22,2016,Ford,F-150,limited,3,20500,No change noted,First seen this week,0,20500,20500,0,0,214000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1739076471,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f150-limited-edition/1739076471,0.30698768603206134,Kijiji
23,2017,Ford,F-150,fx4,3,24980,No change noted,First seen this week,0,24980,24980,0,0,165993,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1738910404,https://www.kijiji.ca/v-cars-trucks/vancouver/2017-ford-f-150-4wd-supercab-145-xlt-fx4-off-road-tonneau-cove/1738910404,0.3091637737663616,Kijiji
24,2019,Ford,F-150,lariat,3,25495,No change noted,First seen this week,0,25495,25495,0,0,158760,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Carstairs, AB","Carstairs, AB",91,address,1739160137,https://www.kijiji.ca/v-cars-trucks/st-catharines/2019-ford-f-150-lariat-4wd-nav-back-up-cam-remote-start-tow-pkg/1739160137,0.30979899375304953,Kijiji
25,2017,Ford,F-150,xlt,2,11500,No change noted,Unchanged for 3 weeks,3,11500,11500,0,0,245000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Carstairs, AB","Carstairs, AB",91,address,1737506689,https://www.kijiji.ca/v-cars-trucks/cape-breton/2017-ford-f-150/1737506689,0.311770283215426,Kijiji
