ranking_status,review_status,source_run_status,source_completed_at_utc,location_status,distance_status,unverified_location_value,unverified_distance_value,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,source
DISABLED_MANUAL_REVIEW_REQUIRED,manual_review_required,success,2026-07-21T14:52:30+00:00,source_reported_not_independently_verified,legacy_method_not_yet_disambiguated,,,2023,Ford,F 350,XLT LONG BOX BACK UP CAM,2,59995,No change noted,Unchanged for 1 weeks,1,59995,59995,0,0,166114,6.7L,Diesel,Unknown,N/A,Auto Hub,Dealer,"9232 Horton Road SW, Calgary, AB, T2V2X4","Calgary, AB",158,address,7f7f1029-5c7a-4316-93d5-4df386c6bae1,https://www.autotrader.ca/offers/ford-f-350-super-duty-xlt-long-box-back-up-cam-diesel-white-cat_ma29gr18389tr11372-7f7f1029-5c7a-4316-93d5-4df386c6bae1,AutoTrader
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2015,Ford,F-350,lariat,3,31900,No change noted,Unchanged for 11 weeks,11,31900,31900,0,0,281981,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1734834544,https://www.kijiji.ca/v-cars-trucks/calgary/2015-ford-super-duty-f-350-srw-lariat-6-7l-diesel-crew-cab/1734834544,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2015,Ford,F-350,xlt,2,13000,No change noted,"Down $1,000 over 7 weeks",7,14000,13000,0,-1000,401672,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1738669626,https://www.kijiji.ca/v-cars-trucks/calgary/2015-f350-f30-xlt-super-duty-crew-cab-4x4-6-7l-diesel/1738669626,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2016,Ford,F-350,xlt,2,29900,No change noted,"Down $1,000 over 10 weeks",10,30900,29900,0,-1000,275563,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1737189627,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-super-duty-f-350-srw-xlt-6-7l-diesel-crew-cab-4w/1737189627,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2016,Ford,F-350,lariat,3,43680,No change noted,Unchanged for 11 weeks,11,43680,43680,0,0,216452,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1737928701,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-6-7l-aftermarket/1737928701,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2016,Ford,F-350,Unknown,1,19500,No change noted,Unchanged for 3 weeks,3,19500,19500,0,0,363000,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1739428883,https://www.kijiji.ca/v-cars-trucks/swift-current/f350-6-7l/1739428883,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2016,Ford,F-350,lariat,3,33500,No change noted,Unchanged for 2 weeks,2,33500,33500,0,0,244367,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1740220475,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2016-ford-f350-6-7l-super-duty/1740220475,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Claresholm, AB",274,2016,Ford,F-350,lariat,3,40680,No change noted,Unchanged for 2 weeks,2,40680,40680,0,0,239852,6.7L,Diesel,Unknown,N/A,Unknown,Dealer,,,,,1740240974,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2016-ford-super-duty-f-350-lariat-ultimate-918a-6-7l-fx4/1740240974,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Calgary, AB",149,2016,Ford,F-350,xlt,2,46000,No change noted,Unchanged for 2 weeks,2,46000,46000,0,0,113000,6.7L,Diesel,Unknown,N/A,Unknown,Private,,,,,1740257339,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-xlt-crew-cab-6-7l-power-stroke-diesel-113-000/1740257339,Kijiji
DISABLED_MANUAL_REVIEW_REQUIRED,location_verification_required,success,2026-07-21T15:42:46+00:00,unverified_search_origin_not_listing_location,disabled_due_to_unverified_location,"Regina, SK",786,2017,Ford,F-350,xlt,2,35799,No change noted,Unchanged for 11 weeks,11,35799,35799,0,0,295612,6.7L,Diesel,Unknown,N/A,Unknown,Unknown,,,,,1729154956,https://www.kijiji.ca/v-cars-trucks/winnipeg/2017-ford-super-duty-f-350-srw-xlt-6-7l-powerstroke-bc-truck/1729154956,Kijiji
