rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
11,2023,Subaru,Forester,touring,3,33343,No change noted,First seen this week,0,33343,33343,0,0,10163,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737925470,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2023-subaru-forester-touring-cvt/1737925470,0.45209193206349946,Kijiji
12,2022,Subaru,Forester,touring,3,33500,No change noted,First seen this week,0,33500,33500,0,0,61380,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Red Deer, AB","Red Deer, AB",1,address,1724537661,https://www.kijiji.ca/v-cars-trucks/penticton/2022-subaru-forester-touring-cvt-no-accidents-bc-vehicle-a/1724537661,0.45316460345758747,Kijiji
13,2021,Subaru,Forester,touring,3,19995,No change noted,First seen this week,0,19995,19995,0,0,191850,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737823176,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-touring-awd-clean-loaded-new-inspecti/1737823176,0.4535152617914303,Kijiji
14,2021,Subaru,Forester,touring,3,22995,No change noted,First seen this week,0,22995,22995,0,0,154400,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737713877,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-2-5i-touring-awd-clean-loaded-priced/1737713877,0.4561821251164182,Kijiji
15,2023,Subaru,Forester,touring,3,26500,No change noted,First seen this week,0,26500,26500,0,0,113935,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1731571251,https://www.kijiji.ca/v-cars-trucks/ottawa/2023-subaru-forester-touring/1731571251,0.4622003330296465,Kijiji
16,2019,Subaru,Forester,convenience,1,17900,No change noted,First seen this week,0,17900,17900,0,0,90000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Calgary, AB","Calgary, AB",149,address,1737178689,https://www.kijiji.ca/v-cars-trucks/calgary/2019-subaru-forester-convenience-awd/1737178689,0.47095005927560485,Kijiji
17,2021,Subaru,Forester,sport,2,14999,No change noted,First seen this week,0,14999,14999,0,0,195881,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737268802,https://www.kijiji.ca/v-cars-trucks/lanaudiere/2021-subaru-forester-sport/1737268802,0.472596191733164,Kijiji
18,2022,Subaru,Forester,touring,3,26995,No change noted,First seen this week,0,26995,26995,0,0,123337,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1735599733,https://www.kijiji.ca/v-cars-trucks/hamilton/2022-subaru-forester-touring-awd-no-accidents/1735599733,0.47638990219664723,Kijiji
19,2023,Subaru,Forester,touring,3,33788,No change noted,First seen this week,0,33788,33788,0,0,32096,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",242,address,1737502073,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-subaru-forester-touring-touring-clean-carfax-1owner/1737502073,0.4767441336281938,Kijiji
20,2023,Subaru,Forester,touring,3,31995,No change noted,First seen this week,0,31995,31995,0,0,78023,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",149,address,1736553513,https://www.kijiji.ca/v-cars-trucks/calgary/2023-subaru-forester-touring-moonroof/1736553513,0.47817868024694576,Kijiji
