rank,year,make,model,trim,price,mileage,engine,fuel,dealer,dealer_address,location,distance_km,distance_method,listing_id,url,score
12,2019,Ford,F 350,XLT,37995,248500,6.7L,Diesel,Cypress Motors SC,"2234 South Service Road West, SWIFT CURRENT, SK, S9H5J7","SWIFT CURRENT, SK",625,address,41c2a9bf-09b9-469e-95a3-c19cd5b45d47,https://www.autotrader.ca/a/ford/f-350/41c2a9bf-09b9-469e-95a3-c19cd5b45d47/,0.6930251320549873
13,2022,Ford,F 350,XLT FX4 6.7L Powerstroke | Heated Seats,55980,149133,6.7L,Diesel,Sherwood Park Chevrolet,"500 Premier Way, SHERWOOD PARK, AB, T8H0R5","SHERWOOD PARK, AB",164,address,872b20c5-35ea-426c-95cd-fece602381c9,https://www.autotrader.ca/a/ford/f-350/872b20c5-35ea-426c-95cd-fece602381c9/,0.7083634682754402
14,2022,Ford,F 350,XLT - REMOTE START BACKUP CAM,57998,118458,6.7L,Diesel,Okotoks Chevrolet Buick GMC Ltd.,"101 Northgate Drive, OKOTOKS, AB, T1S0H9","OKOTOKS, AB",185,address,b1a9c330-1114-441d-8353-d97b5a58dc2a,https://www.autotrader.ca/a/ford/f-350/b1a9c330-1114-441d-8353-d97b5a58dc2a/,0.7083850532264971
15,2021,Ford,F 350,LARIAT LEATHER NAV PANO 5TH WHEEL PREP 8' BOX,54995,176373,6.7L,Diesel,Auto Hub,"9232 Horton Road SW, Calgary, AB, T2V2X4","Calgary, AB",158,address,19d5d1f0-2beb-47df-bd3e-54d44ec032d7,https://www.autotrader.ca/a/ford/f-350/19d5d1f0-2beb-47df-bd3e-54d44ec032d7/,0.7187964848367616
16,2022,Ford,F 350,XLT 4WD Crew Cab DRW 8' Box,55990,191442,6.7L,Diesel,Xtreme Auto and Truck Sales Ltd Barlow,"540 Meridian Rd NE, Calgary, AB, T2A 2N7","Calgary, AB",146,address,6f354b42-2d94-4bf2-8884-8ac5569f4d96,https://www.autotrader.ca/a/ford/f-350/6f354b42-2d94-4bf2-8884-8ac5569f4d96/,0.7383513591130166
17,2022,Ford,F 350,"6.7L V8 Diesel, Long Box",56583,137313,6.7L,Diesel,Davis Dodge Lethbridge,"3216 - 1st Ave. South, LETHBRIDGE, AB, T1J4H2","LETHBRIDGE, AB",354,city_center,e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6,https://www.autotrader.ca/a/ford/f-350/e3b5e1f9-82c5-40bd-96b0-d11a53ba8cc6/,0.7407746736932508
18,2020,Ford,F 350,LARIAT | 6.7L POWERSTROKE | DELETED | 618A | TREMO,56695,190813,6.7L,Diesel,Shaw GMC Chevrolet Buick Inc.,"4620 Blackfoot Trail SE, CALGARY, AB, T2G4G2","CALGARY, AB",152,address,dfe2ddce-a578-45cb-8632-f44c055eee47,https://www.autotrader.ca/a/ford/f-350/dfe2ddce-a578-45cb-8632-f44c055eee47/,0.7460396609337719
19,2020,Ford,F 350,Lariat 6.7L Diesel/Touch Nav/Pano/Camera,59945,156038,6.7L,Diesel,D&D Vehicle Sales Inc,"3760 48th Ave, CAMROSE, AB, T4V3Z8","CAMROSE, AB",141,city_center,561ac945-5cf4-4d75-a9c9-644082c26e32,https://www.autotrader.ca/a/ford/f-350/561ac945-5cf4-4d75-a9c9-644082c26e32/,0.7491612628696706
20,2020,Ford,F 350,"XLT LARIAT ULTIMATE PACKAGE, AFTERMARKET RIMS, QUA",56888,217691,6.7L,Diesel,Cam Clark Ford Olds,"5042 48 th Street, OLDS, AB, T4H0C6","OLDS, AB",63,city_center,16d53fb8-ff69-4620-82e8-9582e959acbd,https://www.autotrader.ca/a/ford/f-350/16d53fb8-ff69-4620-82e8-9582e959acbd/,0.7523968723150923
21,2021,Ford,F 350,Platinum 4WD Crew Cab 6.75' Box,52339,252131,6.7L,Diesel,Canada Auto Remarketing Superstore,"17860 102 Avenue Northwest, Edmonton, AB, T5S 1M9","Edmonton, AB",163,address,47bbe51f-2969-45c8-8956-124ea95b7f3a,https://www.autotrader.ca/a/ford/f-350/47bbe51f-2969-45c8-8956-124ea95b7f3a/,0.7527183312398801
22,2020,Ford,F 350,,50596,226712,6.7L,Diesel,Sun Valley Honda,"16 Strachan Court SE, Medicine Hat, AB, T1B 4R7","Medicine Hat, AB",410,address,05179af1-420d-4358-8982-a1f5eecd9336,https://www.autotrader.ca/a/ford/f-350/05179af1-420d-4358-8982-a1f5eecd9336/,0.7616561690408343
23,2020,Ford,F 350,SRW,58992,206982,6.7L,Diesel,Legacy Auto Super Centre,"4120 56 Street, Wetaskiwin, AB, T9A 1V3","Wetaskiwin, AB",99,address,cedfcdda-0629-4777-bd1c-e24916a15302,https://www.autotrader.ca/a/ford/f-350/cedfcdda-0629-4777-bd1c-e24916a15302/,0.7717942756260041
24,2016,Ford,F 350,Lariat Dually,57995,121000,6.7L,Diesel,Start N Go Auto,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3","Saskatoon, SK",539,address,4c38dea0-b681-4ad3-a229-efbfcd3ea15f,https://www.autotrader.ca/a/ford/f-350/4c38dea0-b681-4ad3-a229-efbfcd3ea15f/,0.7768118402325607
25,2017,Ford,F 350,XLT 4WD | DIESEL | BLUE TOOTH | BACK UP CAM |,47995,196703,6.7L,Diesel,OLYMPIC SUPER CENTER,"665 University Park Dr, REGINA, SK, S4R2V8","REGINA, SK",790,address,979da06e-acd5-47f2-9e5a-c3548a514aee,https://www.autotrader.ca/a/ford/f-350/979da06e-acd5-47f2-9e5a-c3548a514aee/,0.7833657874862092
26,2016,Ford,F 350,Lariat | DIESEL | LEATHER | RUNNING BOARDS |,52995,136944,6.7L,Diesel,OLYMPIC SUPER CENTER,"665 University Park Dr, REGINA, SK, S4R2V8","REGINA, SK",790,address,a0104975-1347-4060-8187-516a9a6955b6,https://www.autotrader.ca/a/ford/f-350/a0104975-1347-4060-8187-516a9a6955b6/,0.7864239289515518
27,2019,Ford,F 350,Lariat - 4x4 - 6.7L POWERSTROKE,57495,138607,6.7L,Diesel,Saskatoon Auto Connection,"139A 105th Street East, SASKATOON, SK, S7N1Z2","SASKATOON, SK",546,address,bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d,https://www.autotrader.ca/a/ford/f-350/bf33ff5b-6d8c-4fa7-b700-8cc34b62b85d/,0.7869655532587918
28,2022,Ford,F 350,FORD F-350 SUPER DUTY | 4X4 | CREW CAB | POWER STR,53995,163250,6.7L,Diesel,Dearborn Ford,"2555 East Trans Canada Hwy, KAMLOOPS, BC, V2C4B1","KAMLOOPS, BC",752,address,eb7609a3-e829-426b-b8de-3ce9586f8495,https://www.autotrader.ca/a/ford/f-350/eb7609a3-e829-426b-b8de-3ce9586f8495/,0.8099832564542591
29,2020,Ford,F 350,XLT Crew Cab,56403,125870,6.7L,Diesel,Velocity Ford,"661 Thatcher Dr E, Moose Jaw, SK, S6J 1L8","Moose Jaw, SK",799,city_center,22a8e54c-e6d9-4465-8ae2-1d7e93b16be2,https://www.autotrader.ca/a/ford/f-350/22a8e54c-e6d9-4465-8ae2-1d7e93b16be2/,0.8135174657075114
30,2017,Ford,F 350,"Lariat, Lifted, Rim & Tire Package, Deleted, Lots",47655,263245,6.7L,Diesel,Velocity Ford,"661 Thatcher Dr E, Moose Jaw, SK, S6J 1L8","Moose Jaw, SK",799,city_center,82a3bbbf-1fee-4d14-89a7-ec5c4561be20,https://www.autotrader.ca/a/ford/f-350/82a3bbbf-1fee-4d14-89a7-ec5c4561be20/,0.8339733996479003
31,2020,Ford,F 350,PLATINUM | 4x4 | 6.7L POWER STROKE DIESEL | SD CRE,58995,193736,6.7L,Diesel,Dearborn Ford,"2555 East Trans Canada Hwy, KAMLOOPS, BC, V2C4B1","KAMLOOPS, BC",752,address,a56c88be-7cac-4a6e-937b-16c2401ca2b1,https://www.autotrader.ca/a/ford/f-350/a56c88be-7cac-4a6e-937b-16c2401ca2b1/,0.8839998819579724
